,Model,Displ,Cyl,Trans,Drive,Fuel,Region,Stnd,Description,ID,Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
127,AUDI S8,4.0,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LVGAJ04.0NAT,large car,3,13,22,16,2,No,545
128,AUDI SQ5,3.0,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LVGAJ03.0N7F,small SUV,5,18,23,20,4,No,444
129,AUDI SQ5,3.0,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LVGAJ03.0N7F,small SUV,5,18,23,20,4,No,444
130,AUDI SQ7,4.0,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAT04.0NAV,standard SUV,3,15,21,17,3,No,516
131,AUDI SQ7,4.0,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LVGAT04.0NAV,standard SUV,3,15,21,17,3,No,516
132,AUDI SQ8,4.0,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAT04.0NAV,standard SUV,3,15,21,17,3,No,518
133,AUDI SQ8,4.0,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LVGAT04.0NAV,standard SUV,3,15,21,17,3,No,518
134,AUDI TT Coupe,2.0,4,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LVGAJ02.0A3T,small car,7,23,31,26,5,No,340
135,AUDI TT Coupe,2.0,4,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LVGAJ02.0A3T,small car,7,23,31,26,5,No,340
136,AUDI TT RS,2.5,5,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAV02.5NAG,small car,3,19,29,23,5,No,387
137,AUDI TT RS,2.5,5,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LVGAV02.5NAG,small car,3,19,29,23,5,No,387
138,AUDI TT Roadster,2.0,4,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LVGAJ02.0A3T,small car,7,23,31,26,5,No,340
139,AUDI TT Roadster,2.0,4,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LVGAJ02.0A3T,small car,7,23,31,26,5,No,340
140,AUDI TTS Coupe,2.0,4,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAV02.0AAB,small car,3,23,29,25,5,No,354
141,AUDI TTS Coupe,2.0,4,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LVGAV02.0AAB,small car,3,23,29,25,5,No,354
144,BENTLEY Bentayga,4.0,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAT04.0PAA,standard SUV,3,14,23,17,3,No,508
145,BENTLEY Bentayga,4.0,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LVGAT04.0PAA,standard SUV,3,14,23,17,3,No,508
146,BENTLEY Bentayga,6.0,12,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAT06.0EAR,standard SUV,3,12,17,14,1,No,645
147,BENTLEY Bentayga,6.0,12,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LVGAT06.0EAR,standard SUV,3,12,17,14,1,No,645
148,BENTLEY Chiron,8.0,16,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,LVGAV08.0GLB,small car,1,9,14,11,1,No,840
149,BENTLEY Chiron,8.0,16,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,LVGAV08.0GLB,small car,1,9,14,11,1,No,840
150,BENTLEY Continental GT,4.0,8,AMS-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAV04.0PAA,small car,3,16,26,19,3,No,469
151,BENTLEY Continental GT,4.0,8,AMS-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LVGAV04.0PAA,small car,3,16,26,19,3,No,469
152,BENTLEY Continental GT,6.0,12,AMS-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAV06.0EAR,small car,3,12,20,15,2,No,586
153,BENTLEY Continental GT,6.0,12,AMS-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LVGAV06.0EAR,small car,3,12,20,15,2,No,586
154,BENTLEY Continental GT Convertible,4.0,8,AMS-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAV04.0PAA,small car,3,16,26,19,3,No,469
155,BENTLEY Continental GT Convertible,4.0,8,AMS-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LVGAV04.0PAA,small car,3,16,26,19,3,No,469
156,BENTLEY Continental GT Convertible,6.0,12,AMS-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LVGAV06.0EAR,small car,3,12,19,15,2,No,601
